Precip_JUN2025;Easting (UTM);Northing (UTM);Estacion
187.3;708084;5816049;ANGOL (LA MONA) 
117.3;684372;5706730;BOROA
144.7;661057;5713466;CARAHUE
214.5;760775;5714193;CHERQUENCO
173.2;758713;5686784;CUNCO
152.6;247258;5740563;CURACAUTIN
223.7;277536;5639541;CURARREHUE
199.5;722863;5786170;ERCILLA (VIDA NUEVA)
177.6;649780;5667706;ESCUELA PUBLICA PORMA
234.4;678983;5671474;FAJA MAISAN
132.9;707217;5684979;FREIRE SENDOS
178.1;700723;5668851;GORBEA
83.8;301996;5701343;ICALMA
169.7;260612;5658705;LAGO CABURGUA
205.3;263997;5660514;LAGO TINQUILCO
310.3;253888;5766571;LAGUNA MALLECO
127.2;742508;5763242;LAS MERCEDES (VICTORIA)
158.1;722862;5732790;LAUTARO
44.9;318031;5720501;LIUCURA
436.2;257101;5642523;LLAFENCO
220.9;260627;5672428;LLANQUI LLANQUI
171.8;705236;5639239;LONCOCHE
120.4;292768;5741044;LONQUIMAY
180.9;755934;5679385;LOS LAURELES
110.4;683790;5773967;LUMACO
135.6;275698;5738799;MALALCAHUELLO
112.1;677694;5709381;NUEVA IMPERIAL
145.2;718850;5698420;PADRE LAS CASAS
176.5;244118;5640206;PARQUE NACIONAL VILLARRICA
152.1;728966;5744488;PERQUENCO
184.9;751969;5673577;PITRUNCO
201.3;247613;5647035;PUCON
185.7;712497;5712269;PUEBLO NUEVO (TEMUCO)
180.6;651422;5693179;PUERTO DOMINGUEZ
167.8;639311;5704956;PUERTO SAAVEDRA
269.7;280317;5620899;PUESCO (ADUANA)
193.1;728005;5739450;QUILLEN
186.7;702476;5663510;QUITRATUE
179.0;760947;5742801;RARI-RUCA
152.6;713321;5827490;RENAICO
165.3;739857;5678763;RIO ALLIPEN EN LOS LAURELES
179.6;298706;5769399;RIO BIO-BIO EN LLANQUEN
46.6;677810;5705708;RIO CAUTIN EN ALMAGRO
204.6;717215;5715036;RIO CAUTIN EN CAJON
150.3;760964;5742237;RIO CAUTIN EN RARI-RUCA
137.8;687429;5724557;RIO CHOLCHOL EN CHOLCHOL
231.0;256098;5650510;RIO LIUCURA EN LIUCURA
214.1;725266;5794996;RIO MALLECO EN COLLIPULLI
209.8;729379;5806157;RIO MININCO EN LONGITUDINAL
151.5;674476;5790171;RIO PUREN EN TRANAMAN
147.2;720367;5671197;RIO TOLTEN EN COIPUE
167.4;665980;5679883;RIO TOLTEN EN TEODORO SCHMIDT
180.4;252113;5669263;RIO TRAFAMPULLI EN RINCONADA
113.7;269465;5697718;RIO TRUFUL EN CAMINO INTERNACIONAL
148.4;709476;5709035;TEMUCO CENTRO
209.4;666264;5678680;TEODORO SCHMITD
237.3;273569;5668306;TERMAS RIO BLANCO
113.1;705308;5763168;TRAIGUEN
112.3;674981;5789933;TRANAMAN
185.2;278578;5697440;TRICAUCO
165.2;741760;5715756;VILCUN
215.1;733571;5655573;VILLARRICA
